Frame Number,Car ID,Lane (Left/Right),Speed (Km/h),Violation
517,32,Left,tensor(0.0435),Yes
517,36,Left,tensor(0.2595),No
518,34,Right,tensor(53.1715),No
518,13,Right,tensor(12.4761),Yes
518,10,Right,tensor(8.8888),Yes
518,32,Left,tensor(30.5031),No
518,36,Left,tensor(14.1866),Yes
519,34,Right,tensor(118.0414),No
519,13,Right,tensor(27.8342),Yes
519,10,Right,tensor(21.6420),Yes
519,32,Left,tensor(64.9457),No
519,36,Left,tensor(31.8750),Yes
520,34,Right,tensor(0.0246),No
520,37,Right,tensor(0.0250),No
520,13,Right,tensor(0.0005),Yes
520,10,Right,tensor(0.0053),Yes
520,32,Left,tensor(0.0039),Yes
520,36,Left,tensor(0.0483),No
521,34,Right,tensor(58.7964),No
521,37,Right,tensor(57.5256),Yes
521,13,Right,tensor(11.4378),Yes
521,10,Right,tensor(9.4045),Yes
521,32,Left,tensor(32.5262),Yes
521,36,Left,tensor(14.7668),Yes
522,25,Right,tensor(135.0565),No
522,34,Right,tensor(118.9357),Yes
522,10,Right,tensor(20.0644),Yes
522,32,Left,tensor(65.2931),Yes
522,5,Right,tensor(28.2548),Yes
522,36,Left,tensor(31.7032),Yes
522,38,Left,tensor(26.4149),Yes
523,25,Right,tensor(0.1068),No
523,34,Right,tensor(0.0274),Yes
523,10,Right,tensor(0.0002),Yes
523,32,Left,tensor(0.0470),No
523,5,Right,tensor(0.0482),No
523,36,Left,tensor(0.0001),Yes
523,38,Left,tensor(0.0002),Yes
524,34,Right,tensor(56.9203),No
524,25,Right,tensor(80.0980),No
524,10,Right,tensor(9.8630),Yes
524,32,Left,tensor(34.8694),Yes
524,36,Left,tensor(15.3142),Yes
524,5,Right,tensor(12.5533),Yes
524,38,Left,tensor(8.6804),Yes
525,25,Right,tensor(70.0494),No
525,34,Right,tensor(54.7924),Yes
525,10,Right,tensor(8.4796),Yes
525,2,Right,tensor(12.0275),Yes
525,36,Left,tensor(14.7351),Yes
525,32,Left,tensor(34.3308),No
525,38,Left,tensor(14.1464),Yes
526,34,Right,tensor(52.9919),No
526,25,Right,tensor(64.5885),No
526,10,Right,tensor(8.6986),Yes
526,2,Right,tensor(11.6230),Yes
526,32,Left,tensor(35.8443),No
526,36,Left,tensor(17.9302),Yes
526,38,Left,tensor(9.7065),Yes
527,25,Right,tensor(57.6490),No
527,34,Right,tensor(47.2850),Yes
527,10,Right,tensor(9.3068),Yes
527,32,Left,tensor(37.7734),Yes
527,2,Right,tensor(10.7819),Yes
527,36,Left,tensor(14.5365),Yes
528,25,Right,tensor(58.0190),No
528,34,Right,tensor(52.0260),Yes
528,10,Right,tensor(11.2132),Yes
528,32,Left,tensor(36.4608),Yes
528,2,Right,tensor(10.9742),Yes
528,36,Left,tensor(19.2256),Yes
529,25,Right,tensor(60.2674),No
529,34,Right,tensor(52.8052),Yes
529,10,Right,tensor(5.6331),Yes
529,32,Left,tensor(37.5087),Yes
529,2,Right,tensor(9.8011),Yes
529,36,Left,tensor(9.5996),Yes
530,25,Right,tensor(58.3389),No
530,34,Right,tensor(44.5695),Yes
530,1,Right,tensor(8.7533),Yes
530,32,Left,tensor(37.3739),No
530,2,Right,tensor(9.8245),Yes
531,25,Right,tensor(56.4478),No
531,34,Right,tensor(45.2889),Yes
